"Symbol","Date","Close"
"AAPL","2020-01-01",173.56
"AAPL","2020-02-01",168.09
"AAPL","2020-03-01",176.54
"AAPL","2020-04-01",189.03
"AAPL","2020-05-01",198.1
"AAPL","2020-06-01",199.51
"AAPL","2020-07-01",225.18
"AAPL","2020-08-01",226.76
"AAPL","2020-09-01",260.04
"AAPL","2020-10-01",262.09
"AAPL","2020-11-01",284.67
"AAPL","2020-12-01",321.97
"AAPL","2021-01-01",304.13
"AAPL","2021-02-01",302.95
"AAPL","2021-03-01",303.95
"AAPL","2021-04-01",316.49
"AAPL","2021-05-01",315.23
"AAPL","2021-06-01",278.38
"AAPL","2021-07-01",244.77
"AAPL","2021-08-01",267.58
"AAPL","2021-09-01",265.98
"AAPL","2021-10-01",242.26
"AAPL","2021-11-01",242.68
"AAPL","2021-12-01",263.9
"MSFT","2020-01-01",181.43
"MSFT","2020-02-01",177.97
"MSFT","2020-03-01",177.11
"MSFT","2020-04-01",153.66
"MSFT","2020-05-01",163.57
"MSFT","2020-06-01",156.97
"MSFT","2020-07-01",166.8
"MSFT","2020-08-01",180.37
"MSFT","2020-09-01",198.9
"MSFT","2020-10-01",192.76
"MSFT","2020-11-01",203.34
"MSFT","2020-12-01",180.58
"MSFT","2021-01-01",171.82
"MSFT","2021-02-01",162.05
"MSFT","2021-03-01",128.84
"MSFT","2021-04-01",132.38
"MSFT","2021-05-01",138.47
"MSFT","2021-06-01",136.05
"MSFT","2021-07-01",150.43
"MSFT","2021-08-01",142.53
"MSFT","2021-09-01",125
"MSFT","2021-10-01",134.49
"MSFT","2021-11-01",125.32
"MSFT","2021-12-01",149.98
